股票代码,股票名称,所属行业,所属概念
920675,秉扬科技,"基础化工,非金属材料Ⅲ,非金属材料Ⅱ",
975,山金国际,"黄金,贵金属,有色金属",
338,潍柴动力,"汽车,汽车零部件,底盘与发动机系统",
600284,浦东建设,"基建市政工程,建筑装饰,基础建设",
600506,统一股份,"炼油化工,炼化及贸易,石油石化",
2082,万邦德,"化学制剂,化学制药,医药生物",
301225,恒勃股份,"汽车,汽车零部件,底盘与发动机系统",
688102,斯瑞新材,"其他金属新材料,有色金属,金属新材料",
300772,运达股份,"风电整机,风电设备,电力设备",
301232,飞沃科技,"风电设备,风电零部件,电力设备",
905,厦门港务,"港口,航运港口,交通运输",
688355,明志科技,"金属制品,通用设备,机械设备",
601677,明泰铝业,"铝,工业金属,有色金属",
688802,沐曦股份-U,"半导体,电子,数字芯片设计",
600801,华新建材,"水泥制造,水泥,建筑材料",
603606,东方电缆,"线缆部件及其他,电力设备,电网设备",
688657,浩辰软件,"计算机,垂直应用软件,软件开发",
600216,浙江医药,"化学制药,原料药,医药生物",
2644,佛慈制药,"中药Ⅲ,中药Ⅱ,医药生物",
605333,沪光股份,"汽车电子电气系统,汽车,汽车零部件",
688139,海尔生物,"医药生物,医疗设备,医疗器械",
600299,安迪苏,"食品及饲料添加剂,基础化工,化学制品",
2636,金安国纪,"元件,印制电路板,电子",
2792,通宇通讯,"通信设备,通信,通信网络设备及器件",
688117,圣诺生物,"其他生物制品,医药生物,生物制品",
2491,通鼎互联,"通信线缆及配套,通信设备,通信",
600230,沧州大化,"基础化工,化学制品,聚氨酯",
605168,三人行,"传媒,广告营销,营销代理",
688682,霍莱沃,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
688202,美迪西,"医疗研发外包,医疗服务,医药生物",
546,金圆股份,"环保,环境治理,固废治理",
300301,ST长方,"电子,光学光电子,LED",
1309,德明利,"半导体,电子,数字芯片设计",
300204,舒泰神,"化学制剂,化学制药,医药生物",
300093,*ST金刚,"电力设备,光伏电池组件,光伏设备",
603351,威尔药业,"化学制药,原料药,医药生物",
300246,宝莱特,"医药生物,医疗设备,医疗器械",
301183,东田微,"光学元件,电子,光学光电子",
586,汇源通信,"通信线缆及配套,通信设备,通信",
601155,新城控股,"商业地产,房地产,房地产开发",
600129,太极集团,"中药Ⅲ,中药Ⅱ,医药生物",
600110,诺德股份,"锂电池,电池,电力设备",
688630,芯碁微装,"其他专用设备,机械设备,专用设备",
70,特发信息,"通信线缆及配套,通信设备,通信",
603279,景津装备,"通用设备,其他通用设备,机械设备",
600361,创新新材,"铝,工业金属,有色金属",
300137,先河环保,"环保设备Ⅲ,环保设备Ⅱ,环保",
600371,万向德农,"种子,种植业,农林牧渔",
300265,通光线缆,"线缆部件及其他,电力设备,电网设备",
301182,凯旺科技,"安防设备,计算机,计算机设备",
301613,新铝时代,"其他汽车零部件,汽车,汽车零部件",
506,招金黄金,"黄金,贵金属,有色金属",
600151,航天机电,"电力设备,光伏电池组件,光伏设备",
300087,荃银高科,"种子,种植业,农林牧渔",
2232,启明信息,"IT服务Ⅲ,IT服务Ⅱ,计算机",
301136,招标股份,"建筑装饰,工程咨询服务Ⅲ,工程咨询服务Ⅱ",
2471,中超控股,"线缆部件及其他,电力设备,电网设备",
603937,丽岛新材,"铝,工业金属,有色金属",
301333,诺思格,"医疗研发外包,医疗服务,医药生物",
300895,铜牛信息,"IT服务Ⅲ,IT服务Ⅱ,计算机",
2772,众兴菌业,"种植业,食用菌,农林牧渔",
688200,华峰测控,"半导体设备,半导体,电子",
300762,上海瀚讯,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
600489,中金黄金,"黄金,贵金属,有色金属",
603387,基蛋生物,"医药生物,医疗器械,体外诊断",
600746,江苏索普,"基础化工,煤化工,化学原料",
786,北新建材,"建筑材料,装修建材,其他建材Ⅲ",
600315,上海家化,"品牌化妆品,化妆品,美容护理",
2432,九安医疗,"医药生物,医疗器械,体外诊断",
603881,数据港,"通信,通信服务,通信应用增值服务",
2731,ST萃华,"纺织服饰,钟表珠宝,饰品",
600731,湖南海利,"农药,农化制品,基础化工",
605090,九丰能源,"燃气Ⅲ,燃气Ⅱ,公用事业",
998,隆平高科,"种子,种植业,农林牧渔",
603165,荣晟环保,"轻工制造,造纸,大宗用纸",
600768,宁波富邦,"铝,工业金属,有色金属",
605376,博迁新材,"其他金属新材料,有色金属,金属新材料",
603826,坤彩科技,"基础化工,非金属材料Ⅲ,非金属材料Ⅱ",
933,神火股份,"铝,工业金属,有色金属",
603909,建发合诚,"建筑装饰,工程咨询服务Ⅲ,工程咨询服务Ⅱ",
301456,盘古智能,"风电设备,风电零部件,电力设备",
300953,震裕科技,"锂电池,电池,电力设备",
603507,振江股份,"风电设备,风电零部件,电力设备",
